go:0000001 | distribution_of | mitochondria
go:0004867 | prevents | serine-type_endopeptidase
go:0004869 | stops_activity_of | cysteine-type_endopeptidase
go:0004869 | reduces_activity_of | cysteine-type_endopeptidase
go:0004869 | binds_to | cysteine-type_endopeptidase
go:0004869 | prevents_activity_of | cysteine-type_endopeptidase
asialoglycoprotein_receptor | recognizes | terminal_galactose
go:0004873 | definition | delivering_the_asialoglycoprotein_into_the_cell_via_endocytosis
go:0004873 | definition | receiving_an_asialoglycoprotein
asialoglycoprotein | is_a | plasma_glycoproteins
receptor | is_recycled_to | cell_membrane
asialoglycoprotein_receptor | recognizes | n-acetylgalactosamine_units
asialoglycoprotein | has_removed | terminal_sialic_acid_residue
go:0004875 | combines_with | complement_cascade
go:0004875 | transmits_signal | membrane
go:0004875 | initiates_change | cell_activity
go:0004876 | combines_with | c3a_product_of_the_complement_cascade
go:0004876 | initiates_change | cell_activity
go:0004876 | transmits_signal_across | cell_membrane
go:0004877 | initiates_change_in | cell_activity
one_side_of_the_membrane | to | the_other_side_of_the_membrane
go:0004877 | combines_with | c3b_product_of_the_complement_cascade
go:0004877 | transmits_signal | one_side_of_the_membrane
go:0004878 | initiates_change_in | cell_activity
go:0004878 | transmits_signal | membrane
c5a_product | product_of | complement_cascade
go:0004878 | combines_with | c5a_product
go:0004883 | activity_regulated_by | glucocorticoid_binding
rna_polymerase_ii | transcribes | specific_gene_sets
glucocorticoid_binding | modulates | transcription_of_specific_gene_sets
go:0004883 | is_a | nuclear_receptor_activity
go:0004888 | combining_with | extracellular_or_intracellular_signal
one_side_of_the_membrane | transmitting_the_signal | the_other
extracellular_or_intracellular_signal | transmitting_the_signal | one_side_of_the_membrane
signal_transduction | part_of | change_in_cell_activity_or_state
go:0004890 | combines_with | gamma-aminobutyric_acid
gaba-a_receptors | function_as | chloride_channels
gamma-aminobutyric_acid | initiates_change_in | cell_activity
gamma-aminobutyric_acid | also_known_as | 4-aminobutyrate
cell_adhesion_receptor | includes | integrins
cell_adhesion | mediated_by | cell-adhesion_protein
integrins | is_a | cell_adhesion_receptor
cell_adhesion_receptor | includes | cadherins
cell_adhesion | initiates | intracellular_signaling
cell-adhesion_protein | located_on | cell_surface
cadherins | is_a | cell_adhesion_receptor
cell-adhesion_protein | binds_to | extracellular_matrix_component
go:0004895 | involves | cell-adhesion_protein
go:0004896 | combining_with | cytokine
membrane | initiating_change | cell_activity
cytokine | transmitting_signal | membrane
go:0004897 | transmits_signal_from | membrane
go:0004897 | initiates_change_in | cell_activity
go:0004897 | combines_with | ciliary_neurotrophic_factor_cntf
go:0004900 | combines_with | erythropoietin
go:0004900 | initiates_change_in | cell_activity
go:0004900 | transmits_signal_across | membrane
go:0004901 | initiates_change | cell_activity
go:0004901 | transmits_signal | membrane
go:0004901 | combines_with | granulocyte_macrophage_colony-stimulating_factor
go:0004902 | transmitting_signal_from | membrane
go:0004902 | combining_with | granulocyte_colony-stimulating_factor
go:0004902 | initiating_change_in | cell_activity
go:0004903 | transmitting_signal | membrane
go:0004903 | initiating_change | cell_activity
go:0004903 | combining_with | growth_hormone
go:0004904 | combines_with | interferon
go:0004904 | transmits_signal_across | membrane
type_i_interferon | includes | interferon-alpha
type_i_interferon | includes | interferon-tau
go:0004905 | combines_with | type_i_interferon
type_i_interferon | includes | interferon-epsilon
type_i_interferon | includes | interferon-kappa
type_i_interferon | includes | interferon-beta
type_i_interferon | includes | interferon-omega
type_i_interferon | includes | interferon-delta
type_i_interferon | includes | interferon-zeta
interferon-gamma | is_a | type_ii_interferon
go:0004906 | combines_with | interferon-gamma
go:0004906 | initiates_change_in | cell_activity
go:0004906 | transmits_signal_across | membrane
interleukin-1 | involved_in | inflammatory_response
interleukin-1 | produced_by | activated_macrophages
go:0004908 | combining_with | interleukin-1
interleukin-1 | initiates_change_in | cell_activity
cell_activity | mediated_by | adaptor_proteins
go:0004909 | combines_with | interleukin-1
cell_activity | via | signaling_pathways
interleukin-1 | initiates_change_in | cell_activity
go:0004910 | combining_with | interleukin-1
interleukin-1 | inhibits_activity_of | type_i_interleukin_receptors
go:0004911 | transmits_signal_across | membrane
go:0004911 | combines_with | interleukin-2
go:0004911 | initiates_change_in | cell_activity
go:0004912 | transmitting_signal_from | membrane
go:0004912 | initiates_change_in | cell_activity
go:0004912 | combining_with | interleukin-3
go:0004913 | combines_with | interleukin-4
go:0004913 | transmits_signal_across | membrane
go:0004914 | combines_with | interleukin-5
go:0004914 | transmits_signal_across | cell_membrane
go:0004915 | combines_with | interleukin-6
go:0004915 | transmits_signal | membrane
go:0004917 | transmits_signal_across | membrane
go:0004917 | combines_with | interleukin-7
go:0004917 | initiates_change_in | cell_activity
go:0004918 | combines_with | interleukin-8
go:0004918 | initiates_change_in | cell_activity
go:0004918 | transmits_signal_across | membrane
go:0004919 | initiates_change_in | cell_activity
go:0004919 | transmits_signal_across | membrane
go:0004919 | combines_with | interleukin-9
go:0004920 | initiates_change | cell_activity
go:0004920 | transmits_signal | membrane
go:0004920 | combines_with | interleukin-10
go:0004921 | transmits_signal | membrane
go:0004921 | initiates_change | cell_activity
go:0004921 | combines_with | interleukin-11
go:0004923 | combines_with | leukemia_inhibitory_factor
go:0004923 | transmits_signal_across | membrane
go:0004923 | initiates_change_in | cell_activity
go:0004924 | combines_with | oncostatin-m
go:0004924 | transmits_signal_across | membrane
go:0004924 | initiates_change_in | cell_activity
go:0004925 | combining_with | prolactin
go:0004925 | transmitting_the_signal_from_one_side_of_the_membrane_to_the_other | prolactin
go:0004925 | initiating_a_change_in_cell_activity | cell_activity
go:0004930 | transmitting_signal_across_membrane | g-protein
go:0004930 | combining_with | extracellular_signal
go:0004930 | promotes_exchange | gdp_for_gtp
go:0004930 | activating | g-protein
channel | opens_when | atp_is_bound_by_channel_complex
go:0004931 | enables | transmembrane_transfer_of_monoatomic_cation
channel_complex | located_on | extracellular_side_of_plasma_membrane
transmembrane_transfer_of_monoatomic_cation | by | channel
go:0004932 | initiates | change_in_cell_activity
go:0004932 | combines_with | mating_type_factor_pheromone
mating-type_a-factor_pheromone | initiates_change_in | cell_activity
go:0004933 | combines_with | mating-type_a-factor_pheromone
go:0004934 | combining_with | mating-type_alpha-factor_pheromone
mating-type_alpha-factor_pheromone | initiates | change_in_cell_activity
heterotrimeric_g-protein_complex | associated_with | go:0004935
alpha-subunit | part_of | heterotrimeric_g-protein_complex
go:0004935 | transmits_signal_across | membrane
go:0004935 | combines_with | epinephrine
go:0004935 | combines_with | norepinephrine
go:0004935 | activates | alpha-subunit
go:0004936 | initiates_change_in | cell_activity
go:0004936 | activation_of | g_protein
go:0004936 | combines_with | epinephrine
go:0004936 | combines_with | norepinephrine
go:0004936 | pharmacological_characteristics_of | alpha-adrenergic_receptors
go:0004937 | initiates_change_in | cell_activity
go:0004937 | activation_of | alpha1-adrenergic_receptors
go:0004937 | combining_with | norepinephrine
go:0004937 | signal_transmitted_to | gq_alpha_subunit
go:0004937 | activation_of | g_protein
go:0004937 | combining_with | epinephrine
gq_alpha_subunit | part_of | heterotrimeric_g_protein
go:0004937 | activity_involves | transmitting_signal
norepinephrine | activates | alpha2-adrenergic_receptors
epinephrine | activates | alpha2-adrenergic_receptors
alpha2-adrenergic_receptors | activates | gi_alpha_subunit
go:0004938 | activates | g_protein
gs_alpha_subunit | part_of | heterotrimeric_g_protein
go:0004939 | combines_with | epinephrine
go:0004939 | initiates_change_in | cell_activity
go:0004939 | transmits_signal_to | gs_alpha_subunit
go:0004939 | activates | g_protein
go:0004939 | has_pharmacological_characteristics_of | beta-adrenergic_receptors
go:0004939 | combines_with | norepinephrine
go:0004940 | via_activation_of | g_protein
go:0004940 | has_pharmacological_characteristics_of | beta1-adrenergic_receptors
go:0004940 | combines_with | epinephrine
go:0004940 | initiates_change_in | cell_activity
go:0004940 | combines_with | norepinephrine
go:0004941 | initiates_change_in | cell_activity
go:0004941 | has_pharmacological_characteristics_of | beta2-adrenergic_receptors
go:0004941 | activates | g_protein
go:0004941 | combines_with | norepinephrine
go:0004941 | combines_with | epinephrine
go:0004945 | acts_via | cgmp_(no)_generation
go:0004945 | acts_via | gi_protein_coupling
go:0004945 | may_also_act_via | additional_signaling_mechanisms
go:0004946 | initiates_change_in | cell_activity
go:0004946 | combines_with | bombesin
go:0004947 | initiates_change_in | cell_activity
go:0004947 | combines_with | bradykinin
go:0004948 | activates | g-protein
g-protein | has_subunit | alpha_subunit
alpha_subunit | part_of | heterotrimeric_g-protein_complex
g-protein | part_of | heterotrimeric_g-protein_complex
go:0004948 | transmits_signal_across | membrane
go:0004948 | combines_with | calcitonin
go:0004948 | promotes_exchange | gdp_for_gtp
cannabinoids | include | phytocannabinoids
go:0004949 | combining_with | cannabinoid
cannabinoids | include | endocannabinoids
cannabinoid | initiates_change_in | cell_activity
chemokine | found_in | bacteria
go:0004950 | combining_with | chemokine
chemokine | family_of | small_chemotactic_cytokines
chemokine | involved_in | controlling_migration_of_cells
chemokine | considered | pro-inflammatory
chemokine | transmitting_signal | membrane
conserved_cysteine_residues | involved_in | intramolecular_disulfide_bond_formation
chemokine | induced_during | immune_response
chemokine | recruit | cells_of_the_immune_system
chemokine | possess | conserved_cysteine_residues
chemokine | found_in | viruses
chemokine | induce | directed_chemotaxis
chemokine | found_in | vertebrates
chemokine | considered | homeostatic
cholecystokinin | acting_as | neuropeptide
cholecystokinin | transmitting_signal_across_membrane | membrane
go:0004951 | combining_with | cholecystokinin
g-protein | initiating_change_in | cell_activity
cholecystokinin | activating | g-protein
cholecystokinin | acting_as | gastrointestinal_hormone
go:0004952 | combining_with | dopamine
go:0004952 | initiates_change_in | cell_activity
go:0004953 | combines_with | icosanoid
go:0004953 | initiates_change_in | cell_activity
prostanoid | initiates_change_in | cell_activity
go:0004954 | combines_with | prostanoid
prostaglandin | initiates_change_in | cell_activity
go:0004955 | combines_with | prostaglandin
prostaglandin_d_pgd(2) | initiates_change_in | cell_activity
go:0004956 | combining_with | prostaglandin_d_pgd(2)
go:0004957 | combining_with | prostaglandin_e
prostaglandin_e | initiates_change_in | cell_activity
go:0004958 | combining_with | prostaglandin_f
go:0004958 | initiates_change_in | cell_activity
thromboxane | initiates_change_in | cell_activity
go:0004960 | combines_with | thromboxane
go:0004961 | transmits_signal_across_membrane | membrane
go:0004961 | activates | g-protein
go:0004961 | combines_with | thromboxane_a2
go:0004962 | combines_with | endothelin
go:0004962 | transmits_signal_across_membrane | membrane
g-protein | associated_with | heterotrimeric_g-protein_complex
alpha_subunit | part_of | heterotrimeric_g-protein_complex
go:0004962 | promotes_exchange | gdp_for_gtp
go:0004962 | activates | g-protein
gdp_for_gtp | occurs_on | alpha_subunit
go:0004963 | combines_with | follicle-stimulating_hormone
go:0004963 | initiates_change_in | cell_activity
go:0004964 | initiates_change_in | cell_activity
go:0004964 | combines_with | luteinizing_hormone
luteinizing_hormone | also_called | lutropin
go:0004965 | promotes_exchange | gdp_for_gtp
go:0004965 | activates | g-protein
g-protein | has_subunit | alpha_subunit
go:0004965 | combines_with | gamma-aminobutyric_acid
alpha_subunit | part_of | heterotrimeric_g-protein_complex
gamma-aminobutyric_acid | is_also_known_as | 4-aminobutyrate
go:0004965 | transmits_signal | membrane
galanin | initiates_change_in | cell_activity
go:0004966 | combining_with | galanin
go:0004967 | combines_with | glucagon
go:0004967 | promotes_exchange_of_gdp_for_gtp_on | alpha_subunit_of_heterotrimeric_g-protein_complex
go:0004967 | transmits_signal_across_membrane_by_activating | g-protein
histamine | initiates_change_in | cell_activity
histamine | found_in | animal_tissue
allergic_reaction | occurs_in | humans
histamine | released_from | mast_cells
go:0004969 | combines_with | histamine
histamine | found_in | plant_tissue
mast_cells | part_of | allergic_reaction
histamine | is_a | physiologically_active_amine
glutamate_has_been_bound | by | channel_complex
go:0004970 | catalysis_of | transmembrane_transfer_of_an_ion
transmembrane_transfer_of_an_ion | by | channel
channel | opens_when | glutamate_has_been_bound
go:0004971 | permeable_to | potassium
go:0004971 | permeable_to | sodium
go:0004971 | exhibits_fast_gating_by | glutamate
go:0004971 | acts_by | opening_a_cation_channel
go:0004971 | permeable_to | calcium_in_absence_of_glur2_subunit
extracellular_glutamate | requires | glycine_or_d-serine
ejection_of_bound_magnesium | occurs_at | permissive_voltages
extracellular_glutamate | requires | depolarized_membrane
go:0004972 | opens_in_response_to | extracellular_glutamate
voltage_gating | is_indirect | ejection_of_bound_magnesium
leukotrienes | are | pharmacologically_active_substances
go:0004974 | combines_with | leukotriene
leukotrienes | contain | conjugated_double_bonds
leukotrienes | contain | peptide_group_based_on_cysteine
go:0004977 | combines_with | melanocortin
go:0004977 | initiates_change_in | cell_activity
go:0004978 | combines_with | corticotropin
corticotropin | initiates_change_in | cell_activity
go:0004979 | activates | g-protein
beta-endorphin | results_from_processing_of | proopiomelanocortin
proopiomelanocortin | is_a | precursor
go:0004979 | combines_with | beta-endorphin
beta-endorphin | is_a | peptide
melanocyte-stimulating_hormone | initiates_change_in | cell_activity
go:0004980 | combines_with | melanocyte-stimulating_hormone
go:0004982 | combining_with | n-formyl_peptide
n-formyl_peptide | initiates_change_in | cell_activity
neuropeptide_y | initiates_change_in | cell_activity
go:0004983 | combines_with | neuropeptide_y
go:0004984 | transmits_signal | membrane
go:0004984 | combines_with | odorant
go:0004984 | initiates_change | cell_activity
go:0004984 | response_to | detection_of_smell
go:0004985 | activates | g-protein
go:0004985 | combining_with | opioid
octopamine | is_found_in | invertebrates
octopamine | acts_as | adrenergic_agonist
go:0004989 | combines_with | octopamine
octopamine | is_found_in | vertebrates
octopamine | has_property | hormone
octopamine | has_property | neurotransmitter
go:0004990 | combines_with | oxytocin
go:0004991 | combines_with | parathyroid_hormone
parathyroid_hormone | initiates_change_in | cell_activity
go:0004992 | combines_with | platelet_activating_factor
go:0004992 | initiates_change_in | cell_activity
serotonin | is_a | neurotransmitter
serotonin | is_a | hormone
go:0004993 | transmits_signal | across_membrane
serotonin | found_in | invertebrates
go:0004993 | combines_with | serotonin
go:0004993 | activates | g-protein
serotonin | found_in | vertebrates
sst-28 | produced_by | proteolytic_cleavage
somatostatin | regulates | endocrine_system
go:0004994 | combines_with | somatostatin
sst-28 | is_a | peptide
somatostatin | has_active_form | sst-14
sst-14 | produced_by | proteolytic_cleavage
somatostatin | signals_via | g_protein-coupled_somatostatin_receptors
sst-14 | is_a | peptide
somatostatin | has_active_form | sst-28
go:0004995 | activates | g-protein
go:0004995 | combines_with | tachykinin_neuropeptide
go:0004995 | transmits_signal_across_membrane | membrane
thyroid-stimulating_hormone | initiates_change_in | cell_activity
go:0004996 | combines_with | thyroid-stimulating_hormone
thyrotropin-releasing_hormone | initiates_change_in | cell_activity
go:0004997 | combining_with | thyrotropin-releasing_hormone
transferrin | is_a | iron_carrier_protein
transferrin | delivers_into | cell
